,Batter,Dismissal,Runs,Balls,Fours,Sixes,SR,Team,Match,Catches
0,Kohli,c Rachin Ravindra b Mustafizur,21,20,0,1,105.0,Royal Challengers Bengaluru,csk vs rcb,Rachin Ravindra
1,du Plessis (c),c Rachin Ravindra b Mustafizur,35,23,8,0,152.17,Royal Challengers Bengaluru,csk vs rcb,Rachin Ravindra
2,Rajat Patidar,c Dhoni b Mustafizur,0,3,0,0,0.0,Royal Challengers Bengaluru,csk vs rcb,Dhoni
3,Maxwell,c Dhoni b D Chahar,0,1,0,0,0.0,Royal Challengers Bengaluru,csk vs rcb,Dhoni
4,Green,b Mustafizur,18,22,1,0,81.82,Royal Challengers Bengaluru,csk vs rcb,NA
5,Anuj Rawat (wk),run out (Dhoni),48,25,4,3,192.0,Royal Challengers Bengaluru,csk vs rcb,NA
6,Karthik,not out,38,26,3,2,146.15,Royal Challengers Bengaluru,csk vs rcb,not out
7,Warner,c Jitesh Sharma b Harshal Patel,29,21,3,2,138.1,Delhi Capitals,pbks vs dc,Jitesh Sharma
8,Mitchell Marsh,c Rahul Chahar b Arshdeep Singh,20,12,2,2,166.67,Delhi Capitals,pbks vs dc,Rahul Chahar
9,Shai Hope,c Harpreet Brar b Rabada,33,25,2,2,132.0,Delhi Capitals,pbks vs dc,Harpreet Brar
10,Pant (c & wk),c Bairstow b Harshal Patel,18,13,2,0,138.46,Delhi Capitals,pbks vs dc,Bairstow
11,Bhui,c Jitesh Sharma b Harpreet Brar,3,7,0,0,42.86,Delhi Capitals,pbks vs dc,Jitesh Sharma
12,Tristan Stubbs,c Shashank Singh b Rahul Chahar,5,8,0,0,62.5,Delhi Capitals,pbks vs dc,Shashank Singh
13,Axar,run out ((sub)T Thyagarajan/Jitesh Sharma),21,13,2,1,161.54,Delhi Capitals,pbks vs dc,NA
14,Sumit Kumar,c Jitesh Sharma b Arshdeep Singh,2,9,0,0,22.22,Delhi Capitals,pbks vs dc,Jitesh Sharma
15,Abishek Porel,not out,32,10,4,2,320.0,Delhi Capitals,pbks vs dc,not out
16,Kuldeep Yadav,run out (Shashank Singh/Harshal Patel),1,2,0,0,50.0,Delhi Capitals,pbks vs dc,NA
17,Salt (wk),c Marco Jansen b Markande,54,40,3,3,135.0,Kolkata Knight Riders,kkr vs srh,Marco Jansen
18,Narine,run out (Shahbaz Ahmed),2,4,0,0,50.0,Kolkata Knight Riders,kkr vs srh,NA
